RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31
395075,101,"Scranton, PA",msa,PA,,,,,,,,,,,,,33.0,36.0,39.0,39.0,36.0,44.0,40.0,39.0,44.0,44.0,43.0,41.0,42.0,41.0,41.0,45.0,50.0,62.0,42.0,53.0,47.0,50.0,51.0,50.0,52.0,39.0,42.0,45.0,47.0,51.0,47.0,46.0,41.0,42.0,22.0,39.0,45.0,45.0,42.0,42.0,43.0,44.0,41.0,40.0,42.0,42.0,41.0,37.0,42.0,36.0,37.0,37.0,39.0,38.0,41.0,38.0
394460,102,"Chattanooga, TN",msa,TN,34.0,32.0,31.0,33.0,35.0,34.0,33.0,31.0,33.0,32.0,33.0,31.0,34.0,31.0,31.0,32.0,33.0,33.0,33.0,32.0,34.0,32.0,32.0,33.0,33.0,31.0,32.0,34.0,34.0,34.0,34.0,36.0,35.0,36.0,35.0,36.0,37.0,33.0,34.0,34.0,33.0,35.0,35.0,34.0,33.0,35.0,34.0,35.0,36.0,32.0,32.0,33.0,31.0,31.0,31.0,31.0,31.0,30.0,31.0,29.0,31.0,29.0,29.0,31.0,30.0,31.0,31.0,30.0
394871,103,"Modesto, CA",msa,CA,34.0,30.0,31.0,31.0,31.0,32.0,33.0,31.0,30.0,31.0,32.0,32.0,32.0,31.0,29.0,30.0,32.0,32.0,33.0,33.0,33.0,32.0,33.0,33.0,34.0,30.0,32.0,33.0,34.0,32.0,35.0,34.0,36.0,34.0,34.0,36.0,35.0,31.0,32.0,31.0,30.0,31.0,30.0,31.0,31.0,31.0,31.0,32.0,31.0,28.0,27.0,28.0,28.0,28.0,29.0,28.0,29.0,29.0,28.0,28.0,30.0,27.0,28.0,27.0,29.0,28.0,29.0,26.0
394768,104,"Lancaster, PA",msa,PA,40.0,36.0,38.0,41.0,37.0,41.0,42.0,39.0,41.0,40.0,39.0,37.0,44.0,39.0,38.0,39.0,42.0,42.0,42.0,42.0,41.0,40.0,42.0,40.0,43.0,39.0,41.0,45.0,,40.0,42.0,45.0,44.0,30.0,42.0,43.0,44.0,40.0,40.0,41.0,41.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,42.0,39.0,38.0,37.0,38.0,38.0,36.0,39.0,39.0,37.0,37.0,37.0,39.0,36.0,34.0,34.0,35.0,38.0,34.0,35.0
394997,105,"Portland, ME",msa,ME,46.0,42.0,40.0,39.0,42.0,44.0,41.0,41.0,39.0,38.0,43.0,31.0,37.0,39.0,36.0,39.0,39.0,39.0,38.0,37.0,40.0,39.0,35.0,37.0,44.0,39.0,35.0,36.0,38.0,39.0,36.0,38.0,22.0,36.0,44.0,45.0,46.0,40.0,43.0,43.0,43.0,18.0,36.0,41.0,42.0,39.0,40.0,41.0,43.0,38.0,35.0,36.0,36.0,37.0,36.0,36.0,38.0,35.0,36.0,36.0,38.0,35.0,32.0,32.0,33.0,32.0,33.0,33.0
395245,106,"Youngstown, OH",msa,OH,22.0,24.0,17.0,22.0,21.0,18.0,21.0,22.0,21.0,19.0,20.0,18.0,16.0,21.0,22.0,19.0,24.0,21.0,22.0,19.0,24.0,22.0,23.0,22.0,26.0,28.0,28.0,,32.0,30.0,33.0,35.0,33.0,36.0,36.0,37.0,27.0,32.0,43.0,41.0,40.0,43.0,40.0,41.0,41.0,40.0,38.0,39.0,42.0,36.0,36.0,36.0,36.0,36.0,37.0,35.0,37.0,35.0,35.0,35.0,36.0,32.0,31.0,34.0,34.0,35.0,33.0,33.0
394770,107,"Lansing, MI",msa,MI,26.0,23.0,22.0,26.0,28.0,28.0,28.0,25.0,25.0,25.0,24.0,25.0,27.0,27.0,23.0,25.0,25.0,24.0,26.0,24.0,24.0,24.0,24.0,26.0,24.0,23.0,23.0,29.0,29.0,26.0,27.0,28.0,28.0,27.0,29.0,28.0,24.0,30.0,37.0,35.0,29.0,30.0,29.0,28.0,28.0,27.0,24.0,34.0,36.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,32.0,31.0,32.0,32.0,32.0,30.0,30.0,30.0,31.0,31.0,32.0,30.0
394590,108,"Fayetteville, AR",msa,AR,36.0,36.0,34.0,17.0,29.0,36.0,35.0,43.0,36.0,35.0,35.0,32.0,39.0,33.0,33.0,33.0,38.0,35.0,37.0,33.0,37.0,36.0,34.0,37.0,37.0,35.0,36.0,37.0,34.0,38.0,38.0,37.0,36.0,36.0,36.0,37.0,38.0,36.0,42.0,32.0,35.0,35.0,34.0,34.0,33.0,30.0,39.0,32.0,38.0,31.0,35.0,30.0,32.0,34.0,31.0,32.0,32.0,32.0,33.0,30.0,32.0,33.0,31.0,31.0,30.0,30.0,32.0,31.0
394589,109,"Fayetteville, NC",msa,NC,39.0,35.0,34.0,34.0,36.0,39.0,37.0,35.0,37.0,39.0,34.0,34.0,35.0,35.0,33.0,35.0,37.0,37.0,37.0,35.0,37.0,35.0,37.0,38.0,39.0,35.0,36.0,38.0,39.0,40.0,39.0,38.0,40.0,39.0,38.0,37.0,41.0,36.0,35.0,37.0,37.0,40.0,41.0,39.0,40.0,40.0,40.0,38.0,41.0,36.0,34.0,35.0,35.0,35.0,35.0,33.0,34.0,34.0,34.0,32.0,33.0,32.0,32.0,32.0,33.0,34.0,33.0,33.0
394792,110,"Lexington, KY",msa,KY,38.0,32.0,36.0,36.0,37.0,39.0,37.0,35.0,36.0,34.0,35.0,34.0,36.0,34.0,33.0,36.0,37.0,37.0,37.0,34.0,36.0,37.0,36.0,36.0,40.0,34.0,37.0,38.0,40.0,38.0,39.0,40.0,41.0,41.0,39.0,40.0,44.0,38.0,39.0,35.0,37.0,38.0,36.0,35.0,36.0,36.0,35.0,35.0,36.0,31.0,31.0,32.0,31.0,34.0,32.0,32.0,32.0,32.0,33.0,32.0,33.0,30.0,33.0,32.0,32.0,33.0,33.0,32.0
