Year,Month,New_Listings,Days_To_Pending,Percent_Sold_Below_List,Sale_To_List_Price_Ratio,Births,Deaths,Inflation_Rate,Unemployment_Rate,Months_Since_Jan_2018
2022,apr,774472.0,6.0,0.2542380914764199,1.0261886887321907,288660.0,370281.0,8.3,3.6,51
2022,may,860326.0,7.0,0.2477641798070134,1.0263390205208918,297576.0,290985.0,8.6,3.6,52
2022,jun,946905.0,8.0,0.2712051479622649,1.0195527861914724,305759.0,268873.0,9.1,3.6,53
2022,jul,1033311.0,12.0,0.3343477004110997,1.0070627508650043,320822.0,246758.0,8.5,3.5,54
2022,aug,1092069.0,15.0,0.4131918090871991,0.9957591383783782,335912.0,255107.0,8.3,3.7,55
2022,sep,1101482.0,17.0,0.4688433075333474,0.9888143440762542,312233.0,249000.0,8.2,3.5,56
2022,oct,1085079.0,18.0,0.5042441764022844,0.9846157459467582,306805.0,261005.0,7.7,3.7,57
2022,nov,1032570.0,22.0,0.5326479593269852,0.9810028244914856,307148.0,259789.0,7.1,3.6,58
2022,dec,955889.0,31.0,0.5666856993314776,0.9769513660824578,314814.0,251639.0,6.5,3.5,59
2023,jan,884129.0,31.0,0.5944478213577324,0.9742616805535284,,265706.0,6.4,3.4,60
2023,feb,830977.0,17.0,0.5602515600351793,0.9778315314606292,,268815.0,6.0,3.6,61
2023,mar,835429.0,13.0,0.5035936898807234,0.9855734267157608,,301278.0,5.0,3.5,62
2023,apr,845834.0,10.0,0.4535173249600617,0.9927467634446978,,289362.0,4.9,3.4,63
2023,may,880510.0,10.0,0.4195651487328493,0.9975353618950568,,249084.0,4.0,3.7,64
2023,jun,907228.0,11.0,0.3997083712619264,1.0005528436533762,,269173.0,3.0,3.6,65
2023,jul,930911.0,12.0,0.4111862143577697,0.9988996598422504,,251959.0,3.2,3.5,66
2023,aug,950306.0,13.0,0.4349827492696355,0.9959263719592644,,252046.0,3.7,3.8,67
2023,sep,959171.0,15.0,,0.9916541337627504,,240140.0,3.7,3.8,68
